year,region,species_code,sex,sex_desc,iss,nss,nhls
1999,egoa,30060,2,female,131.37022320366427,2544,97
1999,egoa,30060,4,total_post,148.12379137304,5323,105
1999,egoa,30060,12,female_male,256.3810248921604,5318,105
1999,egoa,30420,0,total_pre,11.458271009390907,10,5
1999,egoa,30420,1,male,3.992322286162301,4,4
1999,egoa,30420,2,female,4.672841387183877,6,3
1999,egoa,30420,4,total_post,11.458351421736673,10,5
1999,egoa,30420,12,female_male,11.653588380376465,10,5
1999,goa,10110,0,total_pre,8376.699950591032,53681,673
1999,goa,10110,1,male,2870.367579990718,16653,641
1999,goa,10110,2,female,6646.344443594828,36828,668
1999,goa,10110,4,total_post,8376.701704175875,53681,673
1999,goa,10110,12,female_male,9238.181129531242,53481,672
1999,goa,10130,0,total_pre,2620.263181579773,16052,389
