year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,30060,1,37,38.97833333333333,0.93098693152303,39.43,0.5
1990,egoa,30060,1,38,39,2.3664319132398464,38,0
1990,egoa,30060,1,39,39.425000000000004,1.2015614840697915,43,0
1990,egoa,30060,1,40,39.833333333333336,0.7637626158259734,40,0
1990,egoa,30060,1,41,39.538,1.2239362728508374,41,0
1990,egoa,30060,1,42,39,NA,NA,NA
1990,egoa,30060,1,43,39.333333333333336,1.5275252316519465,38,0
1990,egoa,30060,1,44,38.9475,0.4248431082960681,39,0
1990,egoa,30060,1,45,38.908,1.3966610978409262,NA,NA
1990,egoa,30060,1,46,38.316,1.2584236170701806,43,0
1990,egoa,30060,1,47,38.4025,0.9405431561451225,38,0
1990,egoa,30060,1,48,38.705,1.4636085542247967,41,0
1990,egoa,30060,1,49,40.333333333333336,2.309401076758503,37.96,0.84
1990,egoa,30060,1,50,38.48666666666667,0.8891194145520231,39,0
1990,egoa,30060,1,51,41.730000000000004,1.5313175155183627,NA,NA
1990,egoa,30060,1,52,39,NA,NA,NA
1990,egoa,30060,1,53,39.714285714285715,0.4879500364742666,NA,NA
1990,egoa,30060,1,54,39,NA,NA,NA
1990,egoa,30060,1,57,40.666666666666664,2.8867513459481287,NA,NA
1990,egoa,30060,1,58,37.38,0.48055523442506964,NA,NA
1990,egoa,30060,1,61,40,0,NA,NA
1990,egoa,30060,1,64,39,0,NA,NA
1990,egoa,30060,1,65,44,0,NA,NA
1990,egoa,30060,1,70,41.5,3.5355339059327378,NA,NA
1990,egoa,30060,1,73,41.575,3.4294678887547567,NA,NA
1990,egoa,30060,1,78,39,NA,NA,NA
1990,egoa,30060,1,87,39,NA,NA,NA
1990,egoa,30060,2,1,15,NA,NA,NA
1990,egoa,30060,2,2,20.298571428571428,2.9046252114597535,15,0
1990,egoa,30060,2,3,23.169,1.6671096078076106,18.91,1.25
1990,egoa,30060,2,4,24.696,0.9178259336303614,24.28,1.67
1990,egoa,30060,2,5,26.993000000000006,0.6568113207848293,26.15,1.88
1990,egoa,30060,2,6,29.032999999999998,0.6923719295934011,28.73,2.66
1990,egoa,30060,2,7,30.926,0.7188602089419055,31.47,3.11
1990,egoa,30060,2,8,32.61000000000001,0.8284523723988807,32.28,3.07
1990,egoa,30060,2,9,34.303999999999995,0.7097292128379351,34.62,2.46
1990,egoa,30060,2,10,35.706,1.549216289325384,36.07,2.72
1990,egoa,30060,2,11,36.601,1.1897100487093493,38.17,2.62
1990,egoa,30060,2,12,37.364000000000004,0.8048077755312487,36.16,2.76
1990,egoa,30060,2,13,38.189,0.9025820984511301,39.01,2.45
1990,egoa,30060,2,14,39.391,0.46102422206792376,39.48,1.62
1990,egoa,30060,2,15,39.245999999999995,0.6647505797916476,39.57,1.99
1990,egoa,30060,2,16,39.082,1.01376964291149,40.81,2.22
1990,egoa,30060,2,17,40.446,1.2840491510149525,39.55,1.38
1990,egoa,30060,2,18,39.99777777777778,1.2202743316338518,41.3,0.52
